iter	RMSE
0	13.81028326
1	12.91012443
2	12.08424902
3	11.35812923
4	10.71895577
5	10.20540378
6	9.700157345
7	9.260307738
8	8.864338921
9	8.478840463
10	8.150376354
11	7.859644378
12	7.615520147
13	7.412786719
14	7.183705107
15	6.957378531
16	6.776827733
17	6.624535618
18	6.453150919
19	6.322961232
20	6.222165471
21	6.110245206
22	6.007947229
23	5.922013586
24	5.837183306
25	5.787155359
26	5.725414124
27	5.677884402
28	5.625863601
29	5.577142199
30	5.536590946
31	5.49647177
32	5.456370933
33	5.416885322
34	5.38489787
35	5.354667974
36	5.327210144
37	5.303852215
38	5.280319239
39	5.254239642
40	5.237173063
41	5.218539001
42	5.199763075
43	5.180907962
44	5.165988193
45	5.145345775
46	5.121579358
47	5.106833209
48	5.092301497
49	5.074353461
50	5.054062244
51	5.039885252
52	5.019667195
53	5.00867884
54	4.993982182
55	4.980722068
56	4.96380068
57	4.941028247
58	4.923032105
59	4.913280453
60	4.903381964
61	4.896360852
62	4.875511392
63	4.866874471
64	4.854343911
65	4.841718519
66	4.82935021
67	4.816709001
68	4.810174886
69	4.797332051
70	4.784301833
71	4.772844189
72	4.759946196
73	4.742613998
74	4.728393756
75	4.718846099
76	4.706423637
77	4.697942545
78	4.689637451
79	4.679313642
80	4.665460367
81	4.65751842
82	4.651084621
83	4.63283021
84	4.622247655
85	4.611087981
86	4.604771528
87	4.592306946
88	4.58455645
89	4.573793567
90	4.556534585
91	4.546969612
92	4.540364648
93	4.534367851
94	4.523668957
95	4.510352206
96	4.499473713
97	4.493658622
98	4.484977133
99	4.471830114
