iter	Passed	Remaining
0	144	144026
1	144	72290
2	146	48711
3	147	36795
4	148	29649
5	150	24889
6	151	21453
7	153	19028
8	155	17152
9	157	15628
10	159	14365
11	162	13339
12	163	12442
13	166	11724
14	167	11024
15	168	10392
16	169	9818
17	171	9332
18	171	8880
19	173	8484
20	174	8122
21	175	7786
22	176	7485
23	177	7205
24	178	6961
25	179	6722
26	180	6515
27	182	6318
28	183	6127
29	183	5946
30	184	5779
31	186	5626
32	186	5475
33	187	5336
34	188	5204
35	189	5086
36	191	4973
37	192	4863
38	193	4766
39	194	4665
40	195	4569
41	196	4482
42	197	4396
43	198	4319
44	199	4236
45	200	4162
46	201	4087
47	202	4016
48	203	3953
49	204	3887
50	205	3821
51	206	3761
52	207	3703
53	208	3646
54	209	3591
55	210	3543
56	210	3487
57	211	3437
58	212	3388
59	213	3343
60	214	3296
61	214	3251
62	215	3207
63	216	3166
64	217	3124
65	218	3085
66	218	3047
67	219	3011
68	220	2977
69	221	2940
70	222	2908
71	223	2876
72	224	2847
73	225	2818
74	226	2787
75	226	2758
76	227	2730
77	228	2702
78	229	2675
79	230	2647
80	230	2620
81	231	2597
82	232	2571
83	233	2546
84	234	2529
85	236	2510
86	237	2487
87	237	2466
88	238	2445
89	239	2423
90	240	2403
91	241	2382
92	242	2363
93	243	2342
94	243	2321
95	244	2304
96	245	2286
97	246	2267
98	247	2252
99	248	2237
100	249	2221
101	250	2205
102	251	2192
103	252	2177
104	253	2163
105	254	2148
106	255	2134
107	256	2121
108	257	2107
109	258	2092
110	259	2078
111	260	2065
112	261	2049
113	261	2036
114	262	2023
115	263	2010
116	264	1997
117	265	1985
118	266	1973
119	267	1961
120	268	1950
121	269	1941
122	270	1929
123	271	1919
124	272	1908
125	273	1897
126	274	1884
127	275	1874
128	276	1863
129	276	1852
130	277	1841
131	278	1831
132	279	1821
133	280	1810
134	281	1800
135	281	1791
136	282	1781
137	283	1770
138	284	1760
139	285	1752
140	286	1743
141	286	1733
142	287	1725
143	288	1716
144	289	1706
145	290	1697
146	291	1690
147	292	1683
148	293	1675
149	294	1667
150	295	1661
151	296	1653
152	297	1646
153	298	1639
154	299	1631
155	300	1623
156	301	1617
157	302	1610
158	303	1604
159	304	1597
160	305	1591
161	306	1584
162	307	1578
163	308	1572
164	309	1566
165	311	1562
166	311	1556
167	312	1549
168	313	1542
169	314	1537
170	315	1530
171	316	1524
172	317	1519
173	319	1515
174	320	1510
175	321	1507
176	322	1501
177	323	1495
178	324	1490
179	325	1485
180	327	1481
181	328	1476
182	329	1472
183	331	1468
184	332	1463
185	333	1458
186	334	1452
187	335	1447
188	336	1442
189	337	1436
190	337	1431
191	339	1427
192	340	1423
193	341	1419
194	342	1414
195	343	1410
196	344	1405
197	345	1400
198	346	1395
199	347	1391
200	348	1386
201	349	1382
202	351	1378
203	352	1373
204	353	1369
205	354	1365
206	355	1361
207	356	1358
208	357	1353
209	358	1349
210	359	1345
211	360	1340
212	362	1338
213	363	1334
214	364	1329
215	365	1326
216	366	1322
217	367	1319
218	368	1315
219	370	1312
220	371	1309
221	372	1304
222	373	1300
223	374	1297
224	375	1293
225	377	1291
226	378	1287
227	379	1284
228	380	1281
229	381	1277
230	382	1272
231	383	1269
232	384	1266
233	385	1262
234	387	1259
235	388	1256
236	389	1252
237	390	1249
238	391	1246
239	392	1242
240	393	1239
241	394	1235
242	395	1232
243	396	1228
244	397	1225
245	398	1221
246	399	1218
247	401	1216
248	402	1213
249	403	1209
250	404	1207
251	406	1205
252	407	1202
253	408	1199
254	409	1196
255	410	1194
256	411	1190
257	412	1187
258	413	1183
259	414	1180
260	415	1176
261	416	1173
262	417	1171
263	419	1168
264	420	1165
265	421	1162
266	422	1159
267	423	1155
268	424	1152
269	425	1149
270	426	1147
271	427	1144
272	428	1141
273	429	1138
274	430	1135
275	431	1132
276	432	1129
277	433	1127
278	435	1124
279	436	1121
280	437	1119
281	438	1116
282	439	1114
283	440	1110
284	441	1107
285	442	1105
286	444	1103
287	445	1100
288	446	1098
289	447	1095
290	448	1092
291	449	1090
292	451	1088
293	452	1086
294	453	1083
295	454	1081
296	455	1078
297	456	1075
298	457	1072
299	458	1070
300	459	1066
301	460	1063
302	461	1061
303	462	1059
304	464	1057
305	465	1054
306	466	1052
307	467	1050
308	468	1047
309	469	1044
310	470	1041
311	470	1038
312	471	1035
313	472	1033
314	473	1030
315	474	1027
316	475	1025
317	477	1023
318	478	1020
319	479	1018
320	480	1016
321	481	1014
322	482	1012
323	483	1009
324	484	1007
325	486	1005
326	487	1003
327	488	1001
328	489	999
329	491	997
330	492	994
331	492	991
332	493	989
333	495	987
334	496	985
335	497	982
336	498	981
337	499	978
338	501	976
339	502	975
340	503	973
341	505	971
342	506	969
343	507	967
344	508	964
345	509	962
346	510	960
347	511	958
348	512	956
349	513	953
350	514	951
351	515	949
352	516	947
353	517	944
354	518	942
355	519	940
356	520	938
357	522	936
358	523	934
359	524	932
360	525	930
361	526	928
362	527	926
363	529	924
364	530	922
365	531	920
366	532	918
367	533	915
368	534	913
369	535	911
370	536	910
371	538	908
372	539	906
373	540	904
374	541	901
375	542	899
376	543	898
377	544	896
378	545	893
379	546	891
380	547	889
381	548	887
382	550	886
383	551	884
384	552	882
385	553	880
386	554	878
387	555	876
388	556	874
389	557	872
390	558	870
391	559	868
392	560	866
393	562	865
394	563	863
395	564	861
396	566	859
397	567	858
398	568	856
399	569	853
400	569	851
401	570	849
402	571	847
403	572	845
404	573	842
405	574	840
406	575	838
407	576	836
408	577	834
409	578	833
410	580	831
411	581	829
412	582	827
413	583	826
414	584	824
415	585	822
416	586	820
417	587	818
418	589	816
419	590	814
420	590	812
421	591	810
422	592	808
423	593	806
424	594	804
425	595	802
426	596	800
427	597	798
428	598	797
429	599	795
430	601	793
431	602	791
432	603	789
433	604	787
434	605	786
435	606	784
436	607	782
437	608	780
438	609	779
439	610	777
440	611	775
441	613	773
442	614	772
443	615	770
444	616	768
445	617	766
446	618	764
447	619	763
448	620	761
449	621	759
450	622	757
451	623	755
452	624	754
453	625	752
454	627	751
455	628	749
456	629	747
457	630	746
458	631	744
459	632	742
460	633	740
461	634	739
462	636	737
463	636	735
464	638	734
465	639	732
466	640	730
467	641	728
468	642	727
469	643	725
470	644	724
471	645	722
472	646	720
473	648	719
474	649	717
475	650	716
476	652	714
477	653	713
478	654	711
479	655	709
480	656	708
481	657	706
482	658	704
483	659	703
484	660	701
485	661	700
486	663	698
487	664	696
488	665	695
489	667	694
490	667	692
491	669	690
492	670	689
493	671	687
494	672	685
495	673	684
496	674	682
497	675	680
498	676	679
499	678	678
500	679	676
501	680	674
502	681	673
503	682	671
504	683	670
505	684	668
506	685	666
507	687	665
508	688	663
509	689	662
510	690	660
511	691	658
512	692	657
513	693	655
514	694	654
515	695	652
516	697	651
517	697	649
518	698	647
519	699	646
520	700	644
521	702	643
522	703	641
523	704	639
524	705	638
525	706	636
526	707	634
527	708	633
528	709	631
529	710	630
530	711	628
531	712	627
532	713	625
533	714	623
534	715	622
535	716	620
536	717	618
537	718	616
538	719	615
539	720	613
540	721	611
541	722	610
542	723	608
543	724	607
544	725	605
545	726	603
546	727	602
547	728	600
548	729	598
549	730	597
550	731	595
551	732	594
552	733	592
553	734	591
554	735	589
555	736	587
556	737	586
557	738	584
558	739	583
559	739	581
560	740	579
561	741	578
562	742	576
563	743	575
564	744	573
565	745	572
566	746	570
567	747	568
568	749	567
569	749	565
570	751	564
571	752	562
572	753	561
573	754	559
574	755	558
575	756	557
576	757	555
577	758	553
578	759	552
579	760	550
580	761	549
581	762	547
582	763	546
583	764	544
584	765	543
585	766	541
586	768	540
587	769	538
588	770	537
589	771	536
590	772	534
591	773	533
592	774	531
593	775	530
594	776	528
595	777	527
596	778	525
597	779	524
598	780	522
599	781	521
600	782	519
601	784	518
602	785	517
603	786	515
604	787	514
605	788	512
606	789	511
607	790	509
608	791	508
609	792	506
610	793	505
611	795	504
612	796	502
613	797	501
614	799	500
615	800	499
616	805	500
617	807	498
618	808	497
619	809	496
620	811	495
621	812	493
622	813	492
623	814	491
624	815	489
625	817	488
626	819	487
627	820	485
628	821	484
629	823	483
630	824	482
631	827	481
632	828	480
633	829	478
634	830	477
635	832	476
636	833	474
637	834	473
638	835	472
639	836	470
640	838	469
641	839	468
642	840	466
643	842	465
644	843	464
645	845	463
646	846	461
647	848	460
648	849	459
649	850	458
650	852	456
651	853	455
652	854	454
653	855	452
654	856	451
655	857	449
656	858	448
657	860	447
658	861	445
659	862	444
660	863	442
661	865	441
662	866	440
663	867	438
664	868	437
665	869	436
666	870	434
667	871	433
668	872	431
669	874	430
670	875	429
671	876	427
672	877	426
673	878	424
674	879	423
675	880	422
676	882	420
677	883	419
678	884	418
679	886	417
680	887	415
681	888	414
682	889	412
683	891	411
684	892	410
685	893	408
686	894	407
687	895	405
688	896	404
689	897	403
690	899	402
691	900	400
692	901	399
693	902	397
694	903	396
695	905	395
696	906	393
697	907	392
698	908	391
699	909	389
700	910	388
701	911	386
702	912	385
703	913	384
704	914	382
705	916	381
706	917	380
707	918	378
708	919	377
709	920	375
710	921	374
711	922	373
712	923	371
713	924	370
714	925	368
715	926	367
716	927	366
717	929	364
718	930	363
719	931	362
720	932	360
721	933	359
722	934	358
723	935	356
724	936	355
725	937	354
726	938	352
727	940	351
728	941	349
729	942	348
730	944	347
731	945	346
732	946	344
733	946	343
734	948	341
735	949	340
736	950	339
737	951	337
738	952	336
739	954	335
740	955	333
741	956	332
742	958	331
743	958	329
744	960	328
745	961	327
746	962	326
747	963	324
748	964	323
749	965	321
750	966	320
751	967	319
752	968	317
753	969	316
754	970	314
755	971	313
756	972	312
757	974	311
758	975	309
759	976	308
760	977	307
761	978	305
762	979	304
763	980	303
764	981	301
765	982	300
766	983	298
767	985	297
768	986	296
769	987	295
770	988	293
771	989	292
772	991	291
773	992	289
774	993	288
775	994	287
776	995	285
777	997	284
778	998	283
779	999	281
780	1000	280
781	1002	279
782	1003	278
783	1004	276
784	1006	275
785	1007	274
786	1008	272
787	1009	271
788	1010	270
789	1011	268
790	1012	267
791	1014	266
792	1015	265
793	1016	263
794	1017	262
795	1018	261
796	1019	259
797	1021	258
798	1022	257
799	1023	255
800	1024	254
801	1025	253
802	1027	251
803	1028	250
804	1029	249
805	1030	248
806	1031	246
807	1033	245
808	1034	244
809	1035	242
810	1036	241
811	1038	240
812	1039	239
813	1040	237
814	1041	236
815	1042	235
816	1043	233
817	1045	232
818	1046	231
819	1046	229
820	1048	228
821	1049	227
822	1050	225
823	1051	224
824	1052	223
825	1053	221
826	1054	220
827	1055	219
828	1056	217
829	1057	216
830	1059	215
831	1060	214
832	1061	212
833	1062	211
834	1063	210
835	1064	208
836	1065	207
837	1067	206
838	1068	205
839	1069	203
840	1070	202
841	1071	201
842	1073	199
843	1074	198
844	1075	197
845	1076	195
846	1077	194
847	1078	193
848	1080	192
849	1081	190
850	1082	189
851	1083	188
852	1084	186
853	1085	185
854	1087	184
855	1087	183
856	1088	181
857	1090	180
858	1091	179
859	1092	177
860	1092	176
861	1093	175
862	1094	173
863	1095	172
864	1096	171
865	1098	169
866	1099	168
867	1100	167
868	1101	166
869	1102	164
870	1103	163
871	1104	162
872	1105	160
873	1107	159
874	1108	158
875	1109	156
876	1109	155
877	1111	154
878	1111	153
879	1112	151
880	1113	150
881	1114	149
882	1115	147
883	1116	146
884	1117	145
885	1118	143
886	1119	142
887	1120	141
888	1122	140
889	1123	138
890	1124	137
891	1125	136
892	1126	134
893	1127	133
894	1128	132
895	1129	131
896	1130	129
897	1131	128
898	1132	127
899	1133	125
900	1134	124
901	1135	123
902	1137	122
903	1138	120
904	1139	119
905	1140	118
906	1141	117
907	1142	115
908	1143	114
909	1144	113
910	1145	111
911	1146	110
912	1146	109
913	1148	108
914	1149	106
915	1150	105
916	1151	104
917	1152	102
918	1153	101
919	1154	100
920	1154	99
921	1155	97
922	1156	96
923	1157	95
924	1158	93
925	1160	92
926	1160	91
927	1161	90
928	1162	88
929	1163	87
930	1164	86
931	1165	85
932	1165	83
933	1167	82
934	1167	81
935	1169	79
936	1170	78
937	1170	77
938	1171	76
939	1172	74
940	1173	73
941	1174	72
942	1175	71
943	1176	69
944	1176	68
945	1177	67
946	1178	65
947	1179	64
948	1180	63
949	1181	62
950	1182	60
951	1183	59
952	1184	58
953	1185	57
954	1186	55
955	1187	54
956	1188	53
957	1189	52
958	1189	50
959	1190	49
960	1191	48
961	1192	47
962	1193	45
963	1195	44
964	1196	43
965	1197	42
966	1198	40
967	1199	39
968	1200	38
969	1201	37
970	1202	35
971	1203	34
972	1204	33
973	1205	32
974	1206	30
975	1207	29
976	1208	28
977	1209	27
978	1210	25
979	1211	24
980	1212	23
981	1213	22
982	1214	20
983	1214	19
984	1215	18
985	1216	17
986	1217	16
987	1218	14
988	1219	13
989	1220	12
990	1221	11
991	1222	9
992	1224	8
993	1225	7
994	1226	6
995	1227	4
996	1227	3
997	1229	2
998	1229	1
999	1230	0
