iter	RMSE
0	14.50865933
1	14.13290716
2	13.76190206
3	13.41077797
4	13.06103107
5	12.75840047
6	12.46073601
7	12.19224216
8	11.92253251
9	11.63333345
10	11.34697343
11	11.10825584
12	10.89292392
13	10.64205407
14	10.41802486
15	10.18345087
16	9.965976332
17	9.77365492
18	9.581258229
19	9.388070752
20	9.212579993
21	9.04630504
22	8.889103068
23	8.731932849
24	8.579980038
25	8.447854835
26	8.312200702
27	8.195416197
28	8.060395464
29	7.932893653
30	7.831996935
31	7.729403512
32	7.618347407
33	7.528273422
34	7.423723557
35	7.330817392
36	7.237062515
37	7.155842556
38	7.071146948
39	6.994497545
40	6.924882806
41	6.856592581
42	6.783779777
43	6.725279097
44	6.661546188
45	6.596403431
46	6.532799852
47	6.476946109
48	6.422117984
49	6.373189557
50	6.322921259
51	6.266923932
52	6.218770648
53	6.17279635
54	6.133109033
55	6.093750643
56	6.055960787
57	6.023071487
58	5.985431567
59	5.954889695
60	5.924889169
61	5.893983045
62	5.866352646
63	5.835913579
64	5.804011913
65	5.778228179
66	5.750772755
67	5.724798363
68	5.698552861
69	5.675641771
70	5.653612514
71	5.634202439
72	5.615495382
73	5.594131107
74	5.57625455
75	5.5575274
76	5.542334364
77	5.521927638
78	5.505299405
79	5.490760352
80	5.47409485
81	5.46277132
82	5.446670388
83	5.434487109
84	5.419124378
85	5.402828757
86	5.388851704
87	5.37743052
88	5.364999233
89	5.348079223
90	5.335858804
91	5.327020789
92	5.315799176
93	5.303843625
94	5.294534211
95	5.284741258
96	5.275947285
97	5.268195711
98	5.260176084
99	5.249622896
100	5.240358019
101	5.232855499
102	5.224059626
103	5.213861558
104	5.204889753
105	5.195288205
106	5.187491545
107	5.179385818
108	5.17323738
109	5.167721989
110	5.162142948
111	5.154777505
112	5.14813964
113	5.140007066
114	5.133352908
115	5.12352025
116	5.118476838
117	5.109572171
118	5.098763092
119	5.09325066
120	5.085367947
121	5.079857395
122	5.074092394
123	5.067143641
124	5.063710367
125	5.060488071
126	5.0548767
127	5.048409225
128	5.043140745
129	5.038389879
130	5.030804795
131	5.024816278
132	5.016157066
133	5.010476899
134	5.002346864
135	4.998820313
136	4.995063097
137	4.990864388
138	4.985754312
139	4.979139519
140	4.974039821
141	4.970682852
142	4.966497766
143	4.957402479
144	4.951892114
145	4.949649227
146	4.94433765
147	4.940805853
148	4.934167145
149	4.926911988
150	4.921984735
151	4.920602461
152	4.913092376
153	4.907966625
154	4.902454115
155	4.895769538
156	4.890509026
157	4.886475033
158	4.880710568
159	4.875320278
160	4.871397227
161	4.86706874
162	4.860808049
163	4.853586007
164	4.850353989
165	4.8469849
166	4.842575617
167	4.839774612
168	4.83379229
169	4.83026887
170	4.826287884
171	4.823509418
172	4.818546466
173	4.814454411
174	4.808285544
175	4.804606931
176	4.797933226
177	4.793939977
178	4.789558403
179	4.784495246
180	4.783930618
181	4.779394523
182	4.773775644
183	4.771178652
184	4.76626
185	4.764089289
186	4.75976882
187	4.754078951
188	4.751033243
189	4.748737587
190	4.744879906
191	4.738031536
192	4.733654386
193	4.730464291
194	4.725987291
195	4.7234571
196	4.721204984
197	4.717080827
198	4.711577414
199	4.707714954
200	4.70575574
201	4.704137834
202	4.70274565
203	4.696448252
204	4.694759039
205	4.693598693
206	4.689375476
207	4.686831082
208	4.681372766
209	4.678986238
210	4.675635093
211	4.672366708
212	4.666314538
213	4.661268817
214	4.657895237
215	4.655664265
216	4.647738709
217	4.643451515
218	4.639620508
219	4.635910516
220	4.6310498
221	4.627430845
222	4.626242526
223	4.622146916
224	4.61730944
225	4.612250792
226	4.608352464
227	4.603991432
228	4.602246106
229	4.60051363
230	4.59907142
231	4.595250087
232	4.593884126
233	4.592306511
234	4.587399087
235	4.586078903
236	4.583077281
237	4.57641687
238	4.572273633
239	4.569358595
240	4.564889443
241	4.557822919
242	4.553019189
243	4.549213798
244	4.548048766
245	4.544092237
246	4.542058882
247	4.536441593
248	4.532147662
249	4.528987526
250	4.52688122
251	4.523902335
252	4.521901381
253	4.518581045
254	4.514764359
255	4.513355309
256	4.506912581
257	4.504030467
258	4.499937442
259	4.495757637
260	4.494578964
261	4.49375913
262	4.491850726
263	4.488336272
264	4.483832776
265	4.479651979
266	4.475716461
267	4.473928724
268	4.471306542
269	4.465616231
270	4.461660092
271	4.456680203
272	4.452912699
273	4.449039978
274	4.446193329
275	4.44171772
276	4.440792643
277	4.436313108
278	4.433383908
279	4.43031262
280	4.426294475
281	4.423023662
282	4.421101037
283	4.418611897
284	4.41526176
285	4.411566793
286	4.408986505
287	4.404699765
288	4.400294226
289	4.39546859
290	4.394655989
291	4.392452861
292	4.38712287
293	4.385580562
294	4.38288483
295	4.381246029
296	4.378031846
297	4.37536183
298	4.373402226
299	4.372170234
300	4.366601582
301	4.362307697
302	4.359296293
303	4.355234408
304	4.354073104
305	4.349535916
306	4.348270749
307	4.345408181
308	4.344623354
309	4.339444992
310	4.335563442
311	4.331738612
312	4.327796276
313	4.322709937
314	4.317512179
315	4.312807608
316	4.31057227
317	4.309203754
318	4.305700925
319	4.303283101
320	4.298796623
321	4.295751074
322	4.293986206
323	4.290238855
324	4.287694112
325	4.285366359
326	4.284494462
327	4.282907432
328	4.280415161
329	4.277834449
330	4.274007934
331	4.2702288
332	4.267482925
333	4.266642195
334	4.262172195
335	4.261371824
336	4.26057056
337	4.25925982
338	4.254165208
339	4.253267352
340	4.251260632
341	4.2474252
342	4.246791798
343	4.243452772
344	4.241108506
345	4.236390868
346	4.233256341
347	4.229645266
348	4.226189311
349	4.22292663
350	4.218948839
351	4.213792792
352	4.212501474
353	4.206523186
354	4.205762104
355	4.203632884
356	4.199540527
357	4.195478147
358	4.193596391
359	4.191800762
360	4.187716617
361	4.183151233
362	4.178849949
363	4.175280451
364	4.1746726
365	4.171424013
366	4.169292295
367	4.166640422
368	4.162837964
369	4.159320189
370	4.155047868
371	4.152404322
372	4.149065211
373	4.143500176
374	4.140216074
375	4.137131637
376	4.133467885
377	4.129272741
378	4.125785411
379	4.123252436
380	4.119232747
381	4.117263416
382	4.114649261
383	4.11146306
384	4.110369296
385	4.108414039
386	4.105800639
387	4.102832652
388	4.099661488
389	4.098995492
390	4.095889465
391	4.092318233
392	4.089124989
393	4.083652674
394	4.082416514
395	4.079483531
396	4.073748662
397	4.069608472
398	4.068890856
399	4.065023965
400	4.060638102
401	4.057284436
402	4.054867365
403	4.050630618
404	4.04818109
405	4.043217467
406	4.042658208
407	4.040432236
408	4.039779006
409	4.039154285
410	4.036666543
411	4.035686474
412	4.033007875
413	4.030379755
414	4.027858211
415	4.025970415
416	4.024581605
417	4.020716015
418	4.020147199
419	4.015563188
420	4.013009627
421	4.010140283
422	4.007139028
423	4.004162077
424	4.001691997
425	3.997733592
426	3.994059754
427	3.992263127
428	3.98913141
429	3.986100126
430	3.98411841
431	3.982870939
432	3.98022109
433	3.979332199
434	3.976133185
435	3.974365264
436	3.972526662
437	3.9699257
438	3.966469794
439	3.962880461
440	3.962411832
441	3.960864301
442	3.957144866
443	3.954448831
444	3.952783002
445	3.951531656
446	3.947055503
447	3.94432312
448	3.941683953
449	3.939031739
450	3.938423328
451	3.937864751
452	3.933863334
453	3.931299284
454	3.930751567
455	3.926690392
456	3.922200866
457	3.918142438
458	3.915335714
459	3.914875473
460	3.914248526
461	3.913567195
462	3.911872529
463	3.907488893
464	3.904165783
465	3.901392347
466	3.897771015
467	3.895370377
468	3.891490521
469	3.888451042
470	3.886148019
471	3.88325219
472	3.880010553
473	3.87632729
474	3.873495666
475	3.871435195
476	3.868079765
477	3.867568668
478	3.863787068
479	3.86053599
480	3.859275027
481	3.856937398
482	3.856502548
483	3.854964114
484	3.851556756
485	3.849450388
486	3.84816323
487	3.844437148
488	3.843217706
489	3.841345008
490	3.837250648
491	3.835526216
492	3.833755811
493	3.830632911
494	3.826759952
495	3.823982306
496	3.82093966
497	3.818022032
498	3.815169453
499	3.814598231
500	3.811444469
501	3.810071735
502	3.807437395
503	3.805898371
504	3.805271308
505	3.804384675
506	3.802883166
507	3.800019573
508	3.796358745
509	3.795898444
510	3.795434788
511	3.794903541
512	3.792512453
513	3.788720555
514	3.788206606
515	3.78547795
516	3.785040647
517	3.780735397
518	3.780310897
519	3.776866118
520	3.773800428
521	3.770943039
522	3.767902729
523	3.767045274
524	3.763523728
525	3.760951559
526	3.758446474
527	3.75512631
528	3.752282178
529	3.749866415
530	3.746849414
531	3.744550702
532	3.741327307
533	3.740863821
534	3.740373906
535	3.739827426
536	3.737361514
537	3.734497809
538	3.73128583
539	3.727681136
540	3.727202016
541	3.724727324
542	3.721138509
543	3.719249909
544	3.718787276
545	3.716249149
546	3.714965107
547	3.71247218
548	3.709333092
549	3.707918168
550	3.706520138
551	3.703187741
552	3.702645997
553	3.702207196
554	3.698703569
555	3.697835434
556	3.695180258
557	3.694729438
558	3.693587317
559	3.692948599
560	3.690480772
561	3.689697774
562	3.688046352
563	3.684741849
564	3.68204379
565	3.678891179
566	3.678574674
567	3.677583418
568	3.675610758
569	3.672730765
570	3.670367401
571	3.668339821
572	3.66600178
573	3.66538324
574	3.664850644
575	3.661270469
576	3.659913307
577	3.657439692
578	3.656367179
579	3.653747841
580	3.649935456
581	3.647744123
582	3.646208815
583	3.643300227
584	3.641913436
585	3.639702607
586	3.638420563
587	3.63639693
588	3.633255761
589	3.630891094
590	3.630561747
591	3.628862593
592	3.626993056
593	3.625443281
594	3.62365272
595	3.622099927
596	3.618829687
597	3.61659784
598	3.613436356
599	3.609836868
600	3.60744097
601	3.606276775
602	3.605524222
603	3.603661037
604	3.600451371
605	3.597623302
606	3.596037776
607	3.594317596
608	3.592650431
609	3.590335367
610	3.587342169
611	3.586622969
612	3.586033626
613	3.583930504
614	3.581246284
615	3.579338278
616	3.577256646
617	3.574262356
618	3.573941767
619	3.570858899
620	3.570298583
621	3.568326418
622	3.566809107
623	3.566249429
624	3.565349124
625	3.562953757
626	3.560657227
627	3.556895258
628	3.553827645
629	3.550720697
630	3.548481692
631	3.546011923
632	3.543252673
633	3.541840268
634	3.538782381
635	3.537587748
636	3.535854124
637	3.53305367
638	3.531851698
639	3.530929473
640	3.529038192
641	3.528020059
642	3.526925081
643	3.525392474
644	3.524519907
645	3.521825191
646	3.519090865
647	3.516256153
648	3.513100797
649	3.510871315
650	3.508276819
651	3.505502943
652	3.502475871
653	3.500822181
654	3.498666898
655	3.494871662
656	3.493013611
657	3.49049839
658	3.487065242
659	3.484619914
660	3.482787393
661	3.482477797
662	3.480487912
663	3.477773375
664	3.474072502
665	3.47226123
666	3.471883926
667	3.47087225
668	3.468473718
669	3.466640278
670	3.46546312
671	3.46358945
672	3.462050414
673	3.460319231
674	3.458361318
675	3.45806096
676	3.45778431
677	3.455166871
678	3.452866713
679	3.449866895
680	3.448624492
681	3.445886969
682	3.445048176
683	3.444276758
684	3.441839868
685	3.441262353
686	3.437725207
687	3.436049655
688	3.433970299
689	3.430573432
690	3.42794628
691	3.424940269
692	3.422675396
693	3.419642846
694	3.418204923
695	3.415505069
696	3.41472406
697	3.413756044
698	3.413576682
699	3.413194278
700	3.409494115
701	3.406588486
702	3.403480915
703	3.400948481
704	3.398007655
705	3.397377111
706	3.393963195
707	3.392899621
708	3.391911052
709	3.391568017
710	3.391201225
711	3.388869887
712	3.388344755
713	3.387204442
714	3.38533984
715	3.383997916
716	3.383269036
717	3.381069758
718	3.380756935
719	3.378431734
720	3.376208659
721	3.37457494
722	3.372295749
723	3.371036152
724	3.368953083
725	3.365624327
726	3.363254024
727	3.361507877
728	3.35936632
729	3.358628521
730	3.357047779
731	3.35562655
732	3.354898973
733	3.352672678
734	3.351579894
735	3.350137772
736	3.349922167
737	3.347960261
738	3.345659591
739	3.343229321
740	3.340888647
741	3.340360912
742	3.339018959
743	3.336504896
744	3.336162933
745	3.334200722
746	3.331470525
747	3.330814509
748	3.328495498
749	3.327560183
750	3.323970097
751	3.322199237
752	3.318809039
753	3.316798949
754	3.316663014
755	3.314042043
756	3.312256435
757	3.312004676
758	3.310156395
759	3.308616243
760	3.305486451
761	3.30394772
762	3.300481055
763	3.30024509
764	3.297633897
765	3.29421826
766	3.292484784
767	3.290019197
768	3.287844991
769	3.284830771
770	3.281703857
771	3.280011636
772	3.27957116
773	3.277001358
774	3.276456252
775	3.275998507
776	3.273947576
777	3.270590525
778	3.268520262
779	3.267513078
780	3.264316166
781	3.261569914
782	3.259779008
783	3.257976629
784	3.253871669
785	3.251683608
786	3.251176518
787	3.250833253
788	3.24913748
789	3.246769171
790	3.244552015
791	3.242034378
792	3.24028767
793	3.236610273
794	3.236143805
795	3.235213824
796	3.234549758
797	3.234308551
798	3.233852304
799	3.232258437
800	3.230812261
801	3.229343907
802	3.229064477
803	3.227440035
804	3.227200586
805	3.226227583
806	3.224608752
807	3.224084753
808	3.223833282
809	3.221891445
810	3.221055926
811	3.219574501
812	3.21725643
813	3.214821208
814	3.213460234
815	3.211783679
816	3.210746675
817	3.210264489
818	3.2094732
819	3.208450292
820	3.208193483
821	3.205086699
822	3.204893945
823	3.203702924
824	3.202187241
825	3.201358933
826	3.198342492
827	3.198106176
828	3.196051148
829	3.194466032
830	3.192862283
831	3.191426054
832	3.18994006
833	3.188238561
834	3.188015548
835	3.187081147
836	3.184914524
837	3.183852278
838	3.181794551
839	3.178990145
840	3.177779719
841	3.177587148
842	3.176220316
843	3.174349049
844	3.173259705
845	3.171848
846	3.171614122
847	3.170397877
848	3.168910975
849	3.167040377
850	3.164979319
851	3.164550839
852	3.16152724
853	3.159837587
854	3.159194406
855	3.156623839
856	3.153734165
857	3.152998903
858	3.15094935
859	3.148991763
860	3.148122369
861	3.146827061
862	3.14567405
863	3.14439377
864	3.14182321
865	3.14144901
866	3.141150852
867	3.139268472
868	3.137596517
869	3.136057628
870	3.133803928
871	3.130421028
872	3.129332395
873	3.128574715
874	3.126398181
875	3.124913109
876	3.123569622
877	3.122716925
878	3.120857268
879	3.120481527
880	3.117537363
881	3.115850039
882	3.115093048
883	3.113378514
884	3.111879162
885	3.110467096
886	3.109198593
887	3.10741517
888	3.104690197
889	3.103185979
890	3.102992919
891	3.1006526
892	3.100380173
893	3.097308067
894	3.096500642
895	3.09560837
896	3.094316717
897	3.092845484
898	3.091863336
899	3.091679966
900	3.089439747
901	3.086503644
902	3.084924754
903	3.083469467
904	3.082578126
905	3.080546346
906	3.078202487
907	3.076905582
908	3.075611664
909	3.073653958
910	3.072850296
911	3.070192758
912	3.069882789
913	3.068475514
914	3.066471755
915	3.063801674
916	3.06246657
917	3.062295217
918	3.060874562
919	3.059427587
920	3.05907685
921	3.057480154
922	3.057267068
923	3.054839776
924	3.052958735
925	3.051280199
926	3.051032967
927	3.047184714
928	3.045232651
929	3.044717426
930	3.042992726
931	3.041284596
932	3.038867892
933	3.037171349
934	3.036930509
935	3.036338845
936	3.035773176
937	3.034325647
938	3.034049939
939	3.031602495
940	3.030278437
941	3.028753546
942	3.027766179
943	3.0252913
944	3.024600285
945	3.023133251
946	3.022004825
947	3.021695855
948	3.021424231
949	3.019669572
950	3.019094178
951	3.018664664
952	3.017949546
953	3.016711663
954	3.015382334
955	3.011676431
956	3.010635612
957	3.010470198
958	3.009160215
959	3.008347748
960	3.007060507
961	3.006134833
962	3.004399668
963	3.004176821
964	3.001812267
965	2.999011135
966	2.997481556
967	2.997235672
968	2.995982985
969	2.994560588
970	2.992834954
971	2.99059777
972	2.987885434
973	2.985120679
974	2.983527982
975	2.981479509
976	2.979067104
977	2.977921892
978	2.976494111
979	2.975810785
980	2.974825788
981	2.973355581
982	2.971714156
983	2.971256147
984	2.971049528
985	2.968281288
986	2.968100363
987	2.965528299
988	2.963580899
989	2.962497192
990	2.960254047
991	2.957644228
992	2.956354563
993	2.955091124
994	2.952968348
995	2.952593381
996	2.950284872
997	2.948218873
998	2.947931511
999	2.947709736
